name,smiles,oral_bioavailability,source
Aspirin,CC(=O)Oc1ccccc1C(=O)O,68,Literature
Ibuprofen,CC(C)Cc1ccc(cc1)C(C)C(=O)O,80,Literature
Naproxen,COc1ccc2cc(ccc2c1)C(C)C(=O)O,99,Literature
Diclofenac,O=C(O)Cc1ccccc1Nc2c(Cl)cccc2Cl,58,Literature
Indomethacin,CC(=O)Nc1ccc(O)cc1,98,Literature
Paracetamol,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,90,Literature
Caffeine,Cc1c(O)c2ccccc2n(C)c1=O,95,Literature
Theophylline,CC(=O)OCC(=O)Oc1ccccc1C(=O)O,61,Literature
Warfarin,CC(C)NCC(COc1ccccc1)O,99,Literature
Propranolol,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,26,Literature
Atenolol,COCCNc1ccc(OCC(C)NCC)cc1,40,Literature
Metoprolol,COc1ccc(cc1)C(C#N)(c2ccccc2)C(=O)N(C)C,50,Literature
Verapamil,CCOC(=O)C1=C(C)NC(=C(C1c2ccccc2Cl)C(=O)OC)C,22,Literature
Nifedipine,CCOC(=O)C1=C(NC(=C(C1c2ccccc2Cl)C(=O)OC)C)C,45,Literature
Amlodipine,N[C@@H](CCc1ccc(O)cc1)C(=O)O,64,Literature
Lisinopril,N[C@@H](CCc1ccc(O)cc1)C(=O)N[C@H](C)C(=O)O,29,Literature
Enalapril,Cc1ccccc1C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)O,60,Literature
Losartan,CCC(C)(C)C[C@H](O)C[C@@H](O)CC(=O)O[C@H]1C[C@H](C)C=C2C=CC(C)C(CCC(=O)O)=C21,42,Literature
Simvastatin,CC(C)c1c(C(=O)Nc2ccccc2)c(cc(c1)c3ccc(F)cc3)C(=O)O,14,Literature
Atorvastatin,CC(C)[C@H](O)[C@@H](C)C[C@H](C)C(=O)O[C@H]1C[C@H](C)C=C2C=CC(C)C(CCC(=O)O)=C21,12,Literature
Pravastatin,CCC(C)(C)C[C@H](O)C[C@@H](O)CC(=O)O[C@H]1C[C@H](C)C=C2C=CC(C)C(CCC(=O)O)=C21,17,Literature
Lovastatin,NC(=O)C(O)C(O)C(O)CN,5,Literature
Metformin,COc1ccc(S(=O)(=O)N)cc1NC(=O)c2ccccc2,50,Literature
Glibenclamide,COc1ccc(cc1)C(=O)Nc2ccc(S(=O)(=O)N)cc2,5,Literature
Gliclazide,COc1ccc2nc(sc2c1)S(=O)(=O)N,90,Literature
Omeprazole,NC(=O)NCCSCc1nc[nH]c1,60,Literature
Ranitidine,NC(=O)NCCSCc1nc[nH]c1,50,Literature
Cimetidine,NC(=O)NCCSCc1nc[nH]c1,70,Literature
Famotidine,CC(C)(C)C(=O)N[C@H]1C[C@H]2N(C1)C(=O)[C@H](CSCC(N)=O)OC2=O,40,Literature
Lansoprazole,CC(C)(C)C(=O)N[C@H]1C[C@H]2N(C1)C(=O)[C@H](N)OC2=O,85,Literature
Amoxicillin,CC(C)(C)C(=O)N[C@H]1C[C@H]2N(C1)C(=O)[C@H](O)OC2=O,75,Literature
Ampicillin,CC(C)(C)C(=O)N[C@H]1C[C@H]2N(C1)C(=O)[C@H](N)OC2=O,40,Literature
Penicillin V,CCC(=O)O[C@H]1C[C@H](C)C(=O)N(C)C1,25,Literature
Cephalexin,CC(C)c1oncc1C(=O)N[C@H]2C[C@H]3N(C2)C(=O)[C@H](O)OC3=O,95,Literature
Erythromycin,CN(C)C(=O)c1c(O)c(O)cc(O)c1O,37,Literature
Azithromycin,CN(C)C(=O)c1c(O)c(O)cc(O)c1O,50,Literature
Tetracycline,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,50,Literature
Doxycycline,O=C(O)c1cn(C2CC2)c2cc(N3CCOCC3)c(F)cc2c1=O,95,Literature
Ciprofloxacin,Nc1ccc([N+](=O)[O-])cc1,70,Literature
Norfloxacin,Clc1ccc(cc1)C(c2ccc(Cl)cc2)(c3cccnc3)n4ccnc4,95,Literature
Metronidazole,CC(C)Cc1ccc(cc1)[C@@H](C)C(=O)O[C@H]2C[C@H](C)C(=O)N(C)C2,70,Literature
Fluconazole,CC(C)Cc1ccc(cc1)[C@@H](C)C(=O)O[C@H]2C[C@H](C)C(=O)N(C)C2,40,Literature
Ketoconazole,CC(C)c1ccc(cc1)C(C)(C)c2ccc(O)c(c2)C(F)(F)F,95,Literature
Itraconazole,CCOC(=O)C1=C(C)NC(=C(C1c2ccccc2Cl)C(=O)OC)C,40,Literature
Terbinafine,O=C(O)CCOc1ccccc1C(=O)N(CCO)CCO,99,Literature
Loratadine,CC(C)c1ccc(cc1)[C@@H](O)C[C@@H](O)CCN2CCC(CC2)c3ccccc3,75,Literature
Cetirizine,CN(C)CCOC(c1ccccc1)c2ccccc2,70,Literature
Fexofenadine,CN(C)CCOC(c1ccccc1)c2ccccc2,30,Literature
Diphenhydramine,CN1CCC[C@H]1c2ccc(Cl)cc2Cl,60,Literature
Promethazine,CN(C)CCOC(c1ccccc1)c2ccc(Cl)cc2Cl,70,Literature
Haloperidol,CN1c2ccccc2[C@H]3[C@H]1CCNC3,60,Literature
Chlorpromazine,CN1CCC[C@H]1c2ccc3c(c2)OCc4ccccc34,30,Literature
Clozapine,CCN1CCC[C@H]1c2ccc(Cl)c(Cl)c2,42,Literature
Olanzapine,CNCCc1ccc(Oc2ccc(cc2)C(F)(F)F)cc1,50,Literature
Risperidone,CNC[C@H](Cc1ccc(Cl)c(Cl)c1)O,75,Literature
Fluoxetine,CN[C@@H](Cc1ccc(Cl)c(Cl)c1)C(=O)O,72,Literature
Sertraline,CN[C@@H](CCc1ccc(O)cc1)C(=O)O,26,Literature
Paroxetine,CN(C)CCc1ccc(Oc2ccccc2C(=O)O)cc1,50,Literature
Citalopram,CN(C)[C@H]1c2ccccc2C[C@H]3[C@@]14CCN(C3)C,60,Literature
Venlafaxine,CN(C)[C@H]1c2ccccc2C[C@H]3[C@@]14CCN(C3)C,45,Literature
Amitriptyline,CN(C)[C@H]1c2ccccc2C[C@H]3[C@@]14CCN(C3)C,95,Literature
Nortriptyline,CN(C)[C@H]1c2ccccc2C[C@H]3[C@@]14CCN(C3)C,90,Literature
Imipramine,CN(C)CCc1ccc(cc1)C(=O)c2ccccc2,73,Literature
Doxepin,CN1C(=O)CC(c2ccccc2)C1=O,80,Literature
Trazodone,CN1C(=O)CC(c2ccccc2Cl)C1=O,70,Literature
Diazepam,CN1C(=O)CC(c2ccccc2Cl)C1=O,90,Literature
Alprazolam,CN1C(=O)CC(c2ccccc2Cl)C1=O,88,Literature
Lorazepam,CN1C(=O)CC(c2ccccc2Cl)C1=O,90,Literature
Midazolam,NC(=O)c1ccccc1,95,Literature
Triazolam,CC(=O)Nc1ccccc1C(=O)O,90,Literature
Phenytoin,CC(C)C(=O)O,95,Literature
Carbamazepine,Nc1ccc(O)cc1C(=O)O,75,Literature
Valproic acid,CCCCCCCCCCCCCCCCc1ccccc1,90,Literature
Lamotrigine,CN1C[C@H](O)[C@H](O)[C@H]1CO,60,Literature
Levetiracetam,CN1C[C@H](O)[C@H](O)[C@H]1CO,85,Literature
