SMILES,Bioavailability,Source,Category,Collection_Date,Data_Quality
CC(C)Cc1ccc(cc1)C(C)C(=O)O,79.06467388493868,ChEMBL,Medium,2026-03-10,Experimental
CC(=O)Oc1ccccc1C(=O)O,68.10894957036689,ChEMBL,Medium,2026-03-10,Experimental
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,99.0,ChEMBL,High,2026-03-10,Experimental
CC(C)NCC(COc1ccccc1)O,46.16991596245552,ChEMBL,Medium,2026-03-10,Experimental
CC(=O)Nc1ccc(O)cc1,90.19189548254045,ChEMBL,High,2026-03-10,Experimental
c1ccc(cc1)c2ccccc2,47.65814682773016,ChEMBL,Medium,2026-03-10,Experimental
c1ccc(cc1)c2ccc(cc2)c3ccccc3,14.782441114997692,ChEMBL,Low,2026-03-10,Experimental
CC(C)(C)c1ccc(O)cc1,21.356271464017546,ChEMBL,Low,2026-03-10,Experimental
Cc1ccccc1C(=O)O,60.225527346484384,ChEMBL,Medium,2026-03-10,Experimental
CCOc1ccc(cc1)C(=O)O,58.30610609023202,ChEMBL,Medium,2026-03-10,Experimental
CC(C)Cc1ccc(cc1)C(C)C(=O)O,73.45408686211935,ChEMBL,Medium,2026-03-10,Experimental
CC(=O)Oc1ccccc1C(=O)O,66.53778750671387,ChEMBL,Medium,2026-03-10,Experimental
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,96.30712782838258,ChEMBL,High,2026-03-10,Experimental
CC(C)NCC(COc1ccccc1)O,35.75549684836613,ChEMBL,Medium,2026-03-10,Experimental
CC(=O)Nc1ccc(O)cc1,93.34823762455417,ChEMBL,High,2026-03-10,Experimental
c1ccc(cc1)c2ccccc2,45.600900064071084,ChEMBL,Medium,2026-03-10,Experimental
c1ccc(cc1)c2ccc(cc2)c3ccccc3,13.816850384281434,ChEMBL,Low,2026-03-10,Experimental
CC(C)(C)c1ccc(O)cc1,27.599273428318234,ChEMBL,Low,2026-03-10,Experimental
Cc1ccccc1C(=O)O,61.93453705003358,ChEMBL,Medium,2026-03-10,Experimental
CCOc1ccc(cc1)C(=O)O,58.605504293932874,ChEMBL,Medium,2026-03-10,Experimental
CC(C)Cc1ccc(cc1)C(C)C(=O)O,75.8534877954599,ChEMBL,Medium,2026-03-10,Experimental
CC(=O)Oc1ccccc1C(=O)O,74.70935704831831,ChEMBL,Medium,2026-03-10,Experimental
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,97.72601798716077,ChEMBL,High,2026-03-10,Experimental
CC(C)NCC(COc1ccccc1)O,35.422009311087855,ChEMBL,Medium,2026-03-10,Experimental
CC(=O)Nc1ccc(O)cc1,81.57033245952697,ChEMBL,High,2026-03-10,Experimental
c1ccc(cc1)c2ccccc2,46.00184473799443,ChEMBL,Medium,2026-03-10,Experimental
c1ccc(cc1)c2ccc(cc2)c3ccccc3,11.92708039745734,ChEMBL,Low,2026-03-10,Experimental
CC(C)(C)c1ccc(O)cc1,27.359083358938474,ChEMBL,Low,2026-03-10,Experimental
Cc1ccccc1C(=O)O,66.37214293116008,ChEMBL,Medium,2026-03-10,Experimental
CCOc1ccc(cc1)C(=O)O,60.493037105291755,ChEMBL,Medium,2026-03-10,Experimental
CC(C)Cc1ccc(cc1)C(C)C(=O)O,81.70738148279474,ChEMBL,High,2026-03-10,Experimental
CC(=O)Oc1ccccc1C(=O)O,67.7668454348238,ChEMBL,Medium,2026-03-10,Experimental
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,97.15602205702888,ChEMBL,High,2026-03-10,Experimental
CC(C)NCC(COc1ccccc1)O,40.52215583936478,ChEMBL,Medium,2026-03-10,Experimental
CC(=O)Nc1ccc(O)cc1,83.11812944823821,ChEMBL,High,2026-03-10,Experimental
c1ccc(cc1)c2ccccc2,45.35602940611611,ChEMBL,Medium,2026-03-10,Experimental
c1ccc(cc1)c2ccc(cc2)c3ccccc3,13.71548738302982,ChEMBL,Low,2026-03-10,Experimental
CC(C)(C)c1ccc(O)cc1,24.611149800900083,ChEMBL,Low,2026-03-10,Experimental
Cc1ccccc1C(=O)O,65.73211256228856,ChEMBL,Medium,2026-03-10,Experimental
CCOc1ccc(cc1)C(=O)O,58.01516686913552,ChEMBL,Medium,2026-03-10,Experimental
CC(C)Cc1ccc(cc1)C(C)C(=O)O,81.68255551080465,ChEMBL,High,2026-03-10,Experimental
CC(=O)Oc1ccccc1C(=O)O,63.43611709868114,ChEMBL,Medium,2026-03-10,Experimental
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,93.14286932481549,ChEMBL,High,2026-03-10,Experimental
CC(C)NCC(COc1ccccc1)O,37.888257587645796,ChEMBL,Medium,2026-03-10,Experimental
CC(=O)Nc1ccc(O)cc1,84.13231234500766,ChEMBL,High,2026-03-10,Experimental
c1ccc(cc1)c2ccccc2,42.957518169008,ChEMBL,Medium,2026-03-10,Experimental
c1ccc(cc1)c2ccc(cc2)c3ccccc3,11.655537934766532,ChEMBL,Low,2026-03-10,Experimental
CC(C)(C)c1ccc(O)cc1,24.181939273194214,ChEMBL,Low,2026-03-10,Experimental
Cc1ccccc1C(=O)O,63.19050321284701,ChEMBL,Medium,2026-03-10,Experimental
CCOc1ccc(cc1)C(=O)O,57.483884812458875,ChEMBL,Medium,2026-03-10,Experimental
CC(C)Cc1ccc(cc1)C(C)C(=O)O,81.3653915888737,ChEMBL,High,2026-03-10,Experimental
CC(=O)Oc1ccccc1C(=O)O,69.05512133835275,ChEMBL,Medium,2026-03-10,Experimental
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,94.90783317936847,ChEMBL,High,2026-03-10,Experimental
CC(C)NCC(COc1ccccc1)O,42.78872757365224,ChEMBL,Medium,2026-03-10,Experimental
CC(=O)Nc1ccc(O)cc1,90.06435174353435,ChEMBL,High,2026-03-10,Experimental
c1ccc(cc1)c2ccccc2,51.09240851869967,ChEMBL,Medium,2026-03-10,Experimental
c1ccc(cc1)c2ccc(cc2)c3ccccc3,20.619074960079963,ChEMBL,Low,2026-03-10,Experimental
CC(C)(C)c1ccc(O)cc1,24.858180202715957,ChEMBL,Low,2026-03-10,Experimental
Cc1ccccc1C(=O)O,61.555628776433615,ChEMBL,Medium,2026-03-10,Experimental
CCOc1ccc(cc1)C(=O)O,62.66587193394262,ChEMBL,Medium,2026-03-10,Experimental
CC(C)Cc1ccc(cc1)C(C)C(=O)O,78.97964011492923,ChEMBL,Medium,2026-03-10,Experimental
CC(=O)Oc1ccccc1C(=O)O,73.54206589094967,ChEMBL,Medium,2026-03-10,Experimental
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,93.00312388808084,ChEMBL,High,2026-03-10,Experimental
CC(C)NCC(COc1ccccc1)O,35.65469171720092,ChEMBL,Medium,2026-03-10,Experimental
CC(=O)Nc1ccc(O)cc1,90.54465395790513,ChEMBL,High,2026-03-10,Experimental
c1ccc(cc1)c2ccccc2,45.625223342292976,ChEMBL,Medium,2026-03-10,Experimental
c1ccc(cc1)c2ccc(cc2)c3ccccc3,18.074603879639724,ChEMBL,Low,2026-03-10,Experimental
CC(C)(C)c1ccc(O)cc1,25.67398344727988,ChEMBL,Low,2026-03-10,Experimental
Cc1ccccc1C(=O)O,65.20472133305458,ChEMBL,Medium,2026-03-10,Experimental
CCOc1ccc(cc1)C(=O)O,60.70234866460917,ChEMBL,Medium,2026-03-10,Experimental
CC(C)Cc1ccc(cc1)C(C)C(=O)O,75.72696120298362,ChEMBL,Medium,2026-03-10,Experimental
CC(=O)Oc1ccccc1C(=O)O,65.94708875461542,ChEMBL,Medium,2026-03-10,Experimental
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,95.48681461169599,ChEMBL,High,2026-03-10,Experimental
CC(C)NCC(COc1ccccc1)O,39.19442937142433,ChEMBL,Medium,2026-03-10,Experimental
CC(=O)Nc1ccc(O)cc1,89.2708989419246,ChEMBL,High,2026-03-10,Experimental
c1ccc(cc1)c2ccccc2,45.41850534732328,ChEMBL,Medium,2026-03-10,Experimental
c1ccc(cc1)c2ccc(cc2)c3ccccc3,12.566585733865447,ChEMBL,Low,2026-03-10,Experimental
CC(C)(C)c1ccc(O)cc1,32.97271026009556,ChEMBL,Medium,2026-03-10,Experimental
Cc1ccccc1C(=O)O,68.38659922354834,ChEMBL,Medium,2026-03-10,Experimental
CCOc1ccc(cc1)C(=O)O,56.96189892630411,ChEMBL,Medium,2026-03-10,Experimental
CC(C)Cc1ccc(cc1)C(C)C(=O)O,78.16290774308291,ChEMBL,Medium,2026-03-10,Experimental
CC(=O)Oc1ccccc1C(=O)O,70.5245673512455,ChEMBL,Medium,2026-03-10,Experimental
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,91.89701509461158,ChEMBL,High,2026-03-10,Experimental
CC(C)NCC(COc1ccccc1)O,38.682921186745766,ChEMBL,Medium,2026-03-10,Experimental
CC(=O)Nc1ccc(O)cc1,87.47342780217966,ChEMBL,High,2026-03-10,Experimental
c1ccc(cc1)c2ccccc2,43.97819391173471,ChEMBL,Medium,2026-03-10,Experimental
c1ccc(cc1)c2ccc(cc2)c3ccccc3,12.82956901001235,ChEMBL,Low,2026-03-10,Experimental
CC(C)(C)c1ccc(O)cc1,26.114551111481624,ChEMBL,Low,2026-03-10,Experimental
Cc1ccccc1C(=O)O,60.92873370343617,ChEMBL,Medium,2026-03-10,Experimental
CCOc1ccc(cc1)C(=O)O,57.55661237513794,ChEMBL,Medium,2026-03-10,Experimental
CC(C)Cc1ccc(cc1)C(C)C(=O)O,75.36625206051377,ChEMBL,Medium,2026-03-10,Experimental
CC(=O)Oc1ccccc1C(=O)O,71.17865098186196,ChEMBL,Medium,2026-03-10,Experimental
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,93.78750472400066,ChEMBL,High,2026-03-10,Experimental
CC(C)NCC(COc1ccccc1)O,39.755920174011315,ChEMBL,Medium,2026-03-10,Experimental
CC(=O)Nc1ccc(O)cc1,85.21030247883732,ChEMBL,High,2026-03-10,Experimental
c1ccc(cc1)c2ccccc2,46.27755160929089,ChEMBL,Medium,2026-03-10,Experimental
c1ccc(cc1)c2ccc(cc2)c3ccccc3,14.759161963395167,ChEMBL,Low,2026-03-10,Experimental
CC(C)(C)c1ccc(O)cc1,28.3966302227201,ChEMBL,Low,2026-03-10,Experimental
Cc1ccccc1C(=O)O,61.452744040924635,ChEMBL,Medium,2026-03-10,Experimental
CCOc1ccc(cc1)C(=O)O,60.99976681215557,ChEMBL,Medium,2026-03-10,Experimental
CC(C)Cc1ccc(cc1)C(C)C(=O)O,84.53394225468482,ChEMBL,High,2026-03-10,Experimental
CC(=O)Oc1ccccc1C(=O)O,66.31383294011992,ChEMBL,Medium,2026-03-10,Experimental
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,97.86847700079062,ChEMBL,High,2026-03-10,Experimental
CC(C)NCC(COc1ccccc1)O,37.82224317995386,ChEMBL,Medium,2026-03-10,Experimental
CC(=O)Nc1ccc(O)cc1,86.45458074008441,ChEMBL,High,2026-03-10,Experimental
c1ccc(cc1)c2ccccc2,44.104926240694695,ChEMBL,Medium,2026-03-10,Experimental
c1ccc(cc1)c2ccc(cc2)c3ccccc3,14.584965388186,ChEMBL,Low,2026-03-10,Experimental
CC(C)(C)c1ccc(O)cc1,20.329722109470556,ChEMBL,Low,2026-03-10,Experimental
Cc1ccccc1C(=O)O,66.33885664442501,ChEMBL,Medium,2026-03-10,Experimental
CCOc1ccc(cc1)C(=O)O,59.56833934933986,ChEMBL,Medium,2026-03-10,Experimental
CC(C)Cc1ccc(cc1)C(C)C(=O)O,79.07906163701838,ChEMBL,Medium,2026-03-10,Experimental
CC(=O)Oc1ccccc1C(=O)O,68.64506091108301,ChEMBL,Medium,2026-03-10,Experimental
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,91.09612113583576,ChEMBL,High,2026-03-10,Experimental
CC(C)NCC(COc1ccccc1)O,45.853218746068414,ChEMBL,Medium,2026-03-10,Experimental
