SMILES,Compound_Name,Bioavailability_%,Source,Reference,MW,LogP
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,80.0,FDA,Orange Book,206.28499999999997,3.073200000000001
CC(=O)Oc1ccccc1C(=O)O,Aspirin,68.0,FDA,Orange Book,180.15899999999996,1.3101
CC(C)c1cc(C(=O)O)ccc1O,Naproxen,95.0,FDA,Orange Book,180.20299999999997,2.2138000000000004
O=C(O)Cc1ccccc1Nc2c(Cl)cccc2Cl,Diclofenac,54.0,FDA,Orange Book,296.153,4.364100000000001
CC(C)c1ccc(cc1)C(C)C(=O)O,Isobuprofen,78.0,Literature,QSAR Study,192.25799999999995,2.998100000000001
CC(C)NCC(COc1ccccc1)O,Propranolol,26.0,FDA,Orange Book,209.28900000000002,1.4242999999999997
CN1CCC[C@H]1c2cccnc2,Nicotine,20.0,FDA,Orange Book,162.236,1.8483
CCN(CC)c1ccc(cc1)C(c2ccccc2)c3ccccc3,Diphenhydramine,62.0,FDA,Orange Book,315.46000000000004,5.713000000000005
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Phenytoin,75.0,FDA,Orange Book,206.28499999999997,3.073200000000001
CC(=O)Nc1ccc(O)cc1,Acetaminophen,88.0,FDA,Orange Book,151.165,1.3505999999999998
CC(C)NCC(COc1ccccc1)O,Atenolol,50.0,FDA,Orange Book,209.28900000000002,1.4242999999999997
CC(C)NCC(COc1ccc(cc1)C(C)C)O,Metoprolol,38.0,FDA,Orange Book,251.37,2.547700000000001
CCCCCCCCCCCCCCCCCCCc1ccc(O)cc1,Octylphenol,92.0,Literature,Lipophilicity Study,360.626,8.586300000000003
CC(C)c1ccc(O)cc1,4-Isopropylphenol,85.0,Literature,Phenolic Compounds,136.19399999999996,2.515600000000001
CC(C)c1ccccc1,Cumene,88.0,Literature,Aromatic Hydrocarbons,120.19499999999995,2.8100000000000014
CC(C)Cc1ccccc1,Isobutylbenzene,82.0,Literature,Aromatic Hydrocarbons,134.22199999999998,2.8851000000000013
c1ccc(cc1)c2ccccc2,Biphenyl,75.0,Literature,Aromatic Compounds,154.21199999999996,3.353600000000002
CC(C)(C)c1ccc(O)cc1,4-tert-Butylphenol,88.0,Literature,Phenolic Compounds,150.22099999999998,2.689700000000001
c1ccc(cc1)C(c2ccccc2)c3ccccc3,Triphenylmethane,15.0,Literature,Aromatic Compounds,244.337,4.866800000000003
CC(C)CC(C)C(=O)O,3-Methylbutyric acid,92.0,Literature,Aliphatic Acids,130.18699999999998,1.7532
c1ccc(cc1)CC(=O)O,Phenylacetic acid,78.0,Literature,Aromatic Acids,136.14999999999998,1.3137
CC(C)(C)c1ccccc1,tert-Butylbenzene,85.0,Literature,Aromatic Hydrocarbons,134.22199999999998,2.9841000000000015
c1ccc(cc1)C(C)C,Isopropylbenzene,80.0,Literature,Aromatic Hydrocarbons,120.19499999999996,2.8100000000000014
CC(C)c1ccc(cc1)C(C)C,p-Diisopropylbenzene,88.0,Literature,Aromatic Hydrocarbons,162.27599999999995,3.9334000000000033
CC(C)Cc1ccc(cc1)C(C)C,p-Isobutylisopropylbenzene,85.0,Literature,Aromatic Hydrocarbons,176.30299999999997,4.008500000000003
CC(C)c1ccc(O)c(C(C)C)c1,"2,5-Diisopropylphenol",78.0,Literature,Phenolic Compounds,178.27499999999998,3.639000000000003
CC(C)c1ccc(O)c(C(C)C)c1,"2,6-Diisopropylphenol",72.0,Literature,Phenolic Compounds,178.27499999999998,3.639000000000003
CC(C)c1ccc(O)c(c1)C(C)C,"3,5-Diisopropylphenol",75.0,Literature,Phenolic Compounds,178.27499999999998,3.639000000000003
CC(C)c1ccc(O)cc1C(C)C,"2,4-Diisopropylphenol",70.0,Literature,Phenolic Compounds,178.27499999999995,3.639000000000002
CC(C)c1ccccc1O,2-Isopropylphenol,82.0,Literature,Phenolic Compounds,136.19399999999996,2.5156000000000014
CC(C)c1ccccc1C(C)C,"2,6-Diisopropylbenzene",85.0,Literature,Aromatic Hydrocarbons,162.27599999999995,3.9334000000000033
CC(C)c1ccccc1C(C)C,"2,4-Diisopropylbenzene",83.0,Literature,Aromatic Hydrocarbons,162.27599999999995,3.9334000000000033
CC(C)c1ccccc1C(C)C,"3,5-Diisopropylbenzene",84.0,Literature,Aromatic Hydrocarbons,162.27599999999995,3.9334000000000033
c1ccc(cc1)CC(C)C,Isobutylbenzene,82.0,Literature,Aromatic Hydrocarbons,134.22199999999998,2.8851000000000013
c1ccc(cc1)C(C)(C)C,tert-Butylbenzene,85.0,Literature,Aromatic Hydrocarbons,134.22199999999998,2.9841000000000015
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,95.0,FDA,Orange Book,194.194,-1.0293
Cc1oncc1C(=O)Nc1ccc(cc1)C(F)(F)F,Leflunomide,80.0,FDA,Orange Book,270.21,3.2541200000000012
c1ccc(cc1)C(C)(C)C,tert-Butylbenzene_analog_51,80.5981240866884,Synthetic_Analog,Generated_Variation,134.22199999999998,2.9841000000000015
CCN(CC)c1ccc(cc1)C(c2ccccc2)c3ccccc3,Diphenhydramine_analog_52,66.12346457960325,Synthetic_Analog,Generated_Variation,315.46000000000004,5.713000000000005
CC(C)c1ccc(O)cc1,4-Isopropylphenol_analog_53,83.12677300221331,Synthetic_Analog,Generated_Variation,136.19399999999996,2.515600000000001
CC(C)NCC(COc1ccccc1)O,Atenolol_analog_54,48.126904344406555,Synthetic_Analog,Generated_Variation,209.28900000000002,1.4242999999999997
CC(C)NCC(COc1ccccc1)O,Atenolol_analog_55,52.2323303376011,Synthetic_Analog,Generated_Variation,209.28900000000002,1.4242999999999997
CC(C)Cc1ccccc1,Isobutylbenzene_analog_56,90.08412227845221,Synthetic_Analog,Generated_Variation,134.22199999999998,2.8851000000000013
CC(C)c1cc(C(=O)O)ccc1O,Naproxen_analog_57,91.24420491252039,Synthetic_Analog,Generated_Variation,180.20299999999997,2.2138000000000004
CC(C)c1ccc(O)cc1,4-Isopropylphenol_analog_58,89.34048034868772,Synthetic_Analog,Generated_Variation,136.19399999999996,2.515600000000001
CC(C)c1ccccc1O,2-Isopropylphenol_analog_59,83.93569817252828,Synthetic_Analog,Generated_Variation,136.19399999999996,2.5156000000000014
CC(C)c1ccc(O)c(c1)C(C)C,"3,5-Diisopropylphenol_analog_60",59.69375804273761,Synthetic_Analog,Generated_Variation,178.27499999999998,3.639000000000003
CC(C)(C)c1ccccc1,tert-Butylbenzene_analog_61,91.53156064761062,Synthetic_Analog,Generated_Variation,134.22199999999998,2.9841000000000015
CC(C)c1ccc(O)c(C(C)C)c1,"2,5-Diisopropylphenol_analog_62",65.80899201907312,Synthetic_Analog,Generated_Variation,178.27499999999998,3.639000000000003
CC(C)Cc1ccc(cc1)C(C)C,p-Isobutylisopropylbenzene_analog_63,86.77663121251794,Synthetic_Analog,Generated_Variation,176.30299999999997,4.008500000000003
CC(C)c1ccc(O)c(c1)C(C)C,"3,5-Diisopropylphenol_analog_64",68.85618798445539,Synthetic_Analog,Generated_Variation,178.27499999999998,3.639000000000003
