name,smiles,oral_bioavailability,source,MW,LogP,HBD,HBA,RotBonds,TPSA,MolRefr,NumRings,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAtoms,NumHeteroatoms,BertzCT,FormalCharge,ExactMolWt,FractionCsp3,PEOE_VSA1,PEOE_VSA2,PEOE_VSA3,Kappa1,Kappa2,Chi0,Chi1
Aspirin,CC(=O)Oc1ccccc1C(=O)O,68,Literature,180.15899999999996,1.3101,1,3,2,63.60000000000001,44.71030000000002,1,1,0,0,13,4,343.2228677267164,0,180.042258736,0,9.843390348640755,4.794537184071822,4.794537184071822,9.249605734767023,3.7092512583454584,9.844934982691242,6.109060905280622
Ibuprofen,CC(C)Cc1ccc(cc1)C(C)C(=O)O,80,Literature,206.28499999999997,3.073200000000001,1,1,4,37.3,61.03480000000004,1,1,0,0,15,2,324.8941190021566,0,206.130679816,0,5.106527394840706,4.794537184071822,0.0,11.763046018991963,4.964460295417243,11.422285251880869,7.002907755397974
Naproxen,COc1ccc2cc(ccc2c1)C(C)C(=O)O,99,Literature,230.26299999999998,3.036500000000001,1,2,3,46.53,66.55080000000004,2,2,0,0,17,3,560.3959195741091,0,230.094294308,0,9.843390348640755,4.794537184071822,0.0,11.455255502156714,4.454042614687935,12.41384908344359,8.113392202930193
Diclofenac,O=C(O)Cc1ccccc1Nc2c(Cl)cccc2Cl,58,Literature,296.153,4.364100000000001,2,2,4,49.33,77.52650000000003,2,2,0,0,19,5,593.8950014443018,0,295.01668395200005,0,10.423315998847038,4.794537184071822,0.0,13.715440199973633,5.9544053534163845,13.828062645816686,9.07538740046941
Indomethacin,CC(=O)Nc1ccc(O)cc1,98,Literature,151.165,1.3505999999999998,2,2,1,49.33,42.41050000000002,1,1,0,0,11,3,253.29949758389105,0,151.063328528,0,10.423315998847038,4.794537184071822,0.0,7.595374077976819,3.0531381005525,8.267584713501616,5.1815405503520555
Paracetamol,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,90,Literature,194.194,-1.0293,0,6,0,61.82,51.19600000000001,2,2,0,0,14,6,616.5285919942219,0,194.08037556,0,4.567099647791355,13.928736479654532,9.77851570501903,8.73523326923911,2.5679479011227926,10.455665446700477,6.5365812602091875
Caffeine,Cc1c(O)c2ccccc2n(C)c1=O,95,Literature,189.21399999999997,1.5525199999999997,1,3,0,42.230000000000004,55.59080000000002,2,2,0,0,14,3,554.951466281129,0,189.078978592,0,9.67362704263206,4.794537184071822,0.0,8.811833472450036,2.8717012561181607,10.292528739883947,6.625897657686227
Theophylline,CC(=O)OCC(=O)Oc1ccccc1C(=O)O,61,Literature,238.19500000000002,0.8533,1,5,4,89.90000000000002,55.669300000000014,1,1,0,0,17,6,451.02980736424206,0,238.04773804,0,14.580253302440804,4.794537184071822,9.589074368143644,12.698352699931649,5.642375144970545,12.836498814253964,8.002907755397974
Warfarin,CC(C)NCC(COc1ccccc1)O,99,Literature,209.28900000000002,1.4242999999999997,2,3,6,41.489999999999995,61.08250000000004,1,1,0,0,15,3,261.5844462065182,0,209.141578848,0,15.160178952647085,0.0,0.0,12.011736011477758,6.428595766152918,11.096011838247808,7.1815405503520555
Propranolol,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,26,Literature,266.34099999999995,0.45210000000000006,3,4,8,84.57999999999998,73.98090000000003,1,1,0,0,19,5,390.18247960279086,0,266.163042564,0,20.893846429809273,4.794537184071822,0.0,15.467438253877082,7.759435821524982,14.25071237662706,8.96923425058676
Atenolol,COCCNc1ccc(OCC(C)NCC)cc1,40,Literature,252.35799999999998,2.1216999999999997,2,4,9,42.519999999999996,75.44140000000004,1,1,0,0,18,4,314.0749595674374,0,252.183778008,0,20.10730311561276,0.0,0.0,14.799737156511352,8.776177501029084,13.217332181807452,8.757550155273625
Metoprolol,COc1ccc(cc1)C(C#N)(c2ccccc2)C(=O)N(C)C,50,Literature,294.35400000000004,2.5930800000000005,0,3,4,53.33,84.52300000000005,2,2,0,0,22,4,687.2771373638149,0,294.136827816,0,9.636772684650527,4.794537184071822,0.0,15.586236643466329,6.314843310189529,16.164925939000156,10.556914530900062
Verapamil,CCOC(=O)C1=C(C)NC(=C(C1c2ccccc2Cl)C(=O)OC)C,22,Literature,349.81400000000014,3.310900000000002,1,5,4,64.63,91.37770000000003,2,1,0,1,24,6,736.2892378617473,0,349.1080857999999,0,14.790514511606428,0.0,9.589074368143644,18.074215623293703,7.532887161378978,17.853006672199015,11.417121317771072
Nifedipine,CCOC(=O)C1=C(NC(=C(C1c2ccccc2Cl)C(=O)OC)C)C,45,Literature,349.8140000000002,3.310900000000002,1,5,4,64.63,91.37770000000003,2,1,0,1,24,6,736.2892378617473,0,349.1080857999999,0,14.790514511606428,0.0,9.589074368143644,18.074215623293703,7.532887161378978,17.853006672199015,11.41712131777107
Amlodipine,N[C@@H](CCc1ccc(O)cc1)C(=O)O,64,Literature,195.218,0.7366999999999999,3,3,4,83.55,52.03900000000002,1,1,0,0,14,4,307.64807890805156,0,195.089543276,0,15.946722266843596,4.794537184071822,0.0,10.530321285140563,4.620683936770725,10.55204176387779,6.592224152875016
Lisinopril,N[C@@H](CCc1ccc(O)cc1)C(=O)N[C@H](C)C(=O)O,29,Literature,266.29699999999997,0.24139999999999934,4,4,6,112.64999999999999,69.64370000000004,1,1,0,0,19,6,444.46136829191744,0,266.126657056,0,21.263510870849927,9.589074368143644,0.0,14.979101654846337,6.74607993811086,14.41384908344359,8.896754605515326
Enalapril,Cc1ccccc1C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)O,60,Literature,299.326,2.1263199999999998,3,3,5,86.63000000000001,81.87980000000003,2,2,0,0,22,5,679.3132227181493,0,299.115758024,0,15.529843393687743,4.794537184071822,4.794537184071822,15.566609709836447,6.75706692402738,16.112519696192862,10.469234250586762
